ShowTime,ClickTime,Distance,Clicked
0,0,0,False
42.88276,43.71563,3.63356,True
44.53254,45.46537,0.5721741,True
47.23366,48.13177,1.491447,True
0,0,0,False
49.73178,50.6985,3.263573,True
51.18217,52.14815,9.787399,True
0,0,0,False
55.89817,56.64853,2.614952,True
58.38099,59.13128,3.110741,True
