ShowTime,ClickTime,Distance,Clicked
0,0,0,False
0,0,0,False
0,0,0,False
165.1397,166.1234,5.128441,True
0,0,0,False
168.5228,169.3396,1.480423,True
171.3727,172.3725,1.875183,True
0,0,0,False
0,0,0,False
0,0,0,False
